sku;virtual;downloadable;rating_count;average_rating;total_sales;tax_status;tax_class;post_author;post_date;post_date_gmt;post_content;product_type;post_title;post_excerpt;post_status;comment_status;ping_status;post_password;post_name;post_modified;post_modified_gmt;post_content_filtered;post_parent;guid;menu_order;post_type;post_mime_type;comment_count
16513;0;0;0;0;13;;;2;2018-04-17 22:20:31;2018-04-17 20:20:31;;Vin;Domaine Schoenheitz Riesling Herrenreben 2018;;publish;closed;closed;;domaine-schoenheitz-riesling-herrenreben-2018;2020-08-26 15:55:04;2020-08-26 13:55:04;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-schoenheitz-riesling-herrenreben-2018.jpg;0;attachment;image/jpeg;0
16585;0;0;0;0;15;taxable;;2;2018-02-16 14:03:16;2018-02-16 13:03:16;;Vin;Xavier Frissant Touraine Sauvignon 2019;Un joli sauvignon frais et minéral, avec d'intenses notes exotiques. Des très beaux produits à petit prix.;publish;closed;closed;;xavier-frissant-touraine-sauvignon-2019;2020-08-27 09:30:36;2020-08-27 07:30:36;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4223";0;product;;0
16269;0;0;0;0;12;;;2;2018-02-16 15:52:37;2018-02-16 14:52:37;;Vin;Argentine Mendoza Alamos Chardonnay 2019;;publish;closed;closed;;catena-zapata-mendoza-alamos-chardonnay-2019;2020-08-25 11:05:02;2020-08-25 09:05:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/catena-zapata-mendoza-alamos-chardonnay-2019.jpg;0;attachment;image/jpeg;0
15526;0;0;0;0;6;;;2;2018-10-09 14:21:32;2018-10-09 12:21:32;;Vin;Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018;;publish;closed;closed;;pelle-menetou-salon-blanc-ratier-2018;2020-08-26 15:55:03;2020-08-26 13:55:03;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/pelle-menetou-salon-blanc-ratier-2018.jpg;0;attachment;image/jpeg;0
12869;0;0;0;0;7;taxable;;2;2019-03-28 14:29:35;2019-03-28 13:29:35;;Vin;Stéphane Tissot Arbois D.D. 2016;Un Vin coloré et éclatant. Le nez est fruité, aux arômes de griotte et de prunelle, accompagné d'épices douces. La bouche est pure et fruitée, disposant beaux tanins souples et élégants.;publish;closed;closed;;stephane-tissot-arbois-dd-2016;2019-12-13 15:40:01;2019-12-13 14:40:01;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=5900";0;product;;0
15575;0;0;0;0;11;taxable;;2;2018-04-17 16:29:35;2018-04-17 14:29:35;;Vin;Château Plaisance Fronton Rouge 2017;Le 2015 est un vrai vin de plaisir. Un superbe équilibre porté par un fruité intense et beaucoup de gourmandise.;publish;closed;closed;;chateau-plaisance-fronton-2017;2020-07-31 10:25:02;2020-07-31 08:25:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4682";0;product;;0
11586;0;0;0;0;3;;;2;2018-03-22 10:28:41;2018-03-22 09:28:41;;Whisky;Wemyss Malts Blended Malt Scotch Whisky Spice King;;publish;closed;closed;;whisky-wemyss-spice-king;2020-06-18 10:45:02;2020-06-18 08:45:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/whisky-wemyss-spice-king.jpg;0;attachment;image/jpeg;0
14338;0;0;0;0;16;taxable;;2;2019-03-15 10:13:30;2019-03-15 09:13:30;;Vin;Maurel Pays d'Oc Cabernet-Sauvignon 2017;"<span style=""float: none; background-color: transparent; color: #444444; font-family: 'Cabin',sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; line-height: 17.33px; text-align: left; text-decoration: none; text-indent: 0px;"">Une robe rouge cerise aux reflets violines. Des arômes de bourgeon de cassis puis de poivron mûr. Une bouche ronde et ample aux petites notes grillées viennent apporter leur croquant avant une finale fraîche et épicée.</span>";publish;closed;closed;;maurel-pays-d-oc-cabernet-sauvignon-2017;2020-03-11 09:30:06;2020-03-11 08:30:06;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=5777";0;product;;0
15425;0;0;0;0;13;;;2;2018-05-17 12:26:25;2018-05-17 10:26:25;;Vin;Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018;;publish;closed;closed;;domaine-la-croix-belle-cotes-de-thongue-rouge-la-caringole-2018;2020-08-25 18:25:02;2020-08-25 16:25:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-la-croix-belle-cotes-de-thongue-rouge-la-caringole-2018.jpg;0;attachment;image/jpeg;0
16560;0;0;0;0;13;taxable;;2;2018-02-15 09:12:13;2018-02-15 08:12:13;;Vin;Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019;"<div class=""row"">
<div class=""features-value col-xs-8 col-sm-8 col-md-9"">Les vignes de grenache et de syrah donnent au ""terres blanches"" un vin typiquement méditerranéen fait de gourmandise et d'élégance sur une trame tannique discrète.</div>
</div>";publish;closed;closed;;borie-vitarele-saint-chinian-terres-blanches-2019;2020-08-25 10:25:02;2020-08-25 08:25:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4181";0;product;;0
;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
15361;0;0;0;0;13;taxable;;2;2018-04-17 22:01:10;2018-04-17 20:01:10;;Vin;Domaine Schoenheitz Muscat 2017;Jaune pâle à reflets argentés. Nez particulièrement expressif et charmeur avec de délicates nuances florales d’aubépine, des notes de fruits frais et bien sûr une touche musquée. Une attaque soyeuse suivie d’une éclosion aromatique de fruits frais  donnant  la sensation de croquer directement dans le raisin, le tout soutenu par une fine acidité qui prolonge la bouche sur une note de fraîcheur.;publish;closed;closed;;domaine-schoenheitz-muscat-2017;2020-07-27 14:25:03;2020-07-27 12:25:03;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4714";0;product;;0
13809;0;0;0;0;8;;;2;2018-05-15 11:11:59;2018-05-15 09:11:59;;Vin;Antoine-Marie Arena Vin de France Rouge San Giovanni 2017;;publish;closed;closed;;antoine-marie-arena-vin-de-france-rouge-san-giovanni-2017;2020-04-23 22:54:55;2020-04-23 20:54:55;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/antoine-marie-arena-vin-de-france-rouge-san-giovanni-2017.jpg;0;attachment;image/jpeg;0
11587;0;0;0;0;7;;;2;2018-03-22 10:38:04;2018-03-22 09:38:04;;Whisky;Wemyss Malts Blended Scotch Whisky Lord Elcho;;publish;closed;closed;;whisky-lord-elcho;2020-06-18 10:45:02;2020-06-18 08:45:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/whisky-lord-elcho.jpg;0;attachment;image/jpeg;0
15022;0;0;0;0;0;taxable;;2;2018-02-12 13:14:22;2018-02-12 12:14:22;;Vin;Oratoire Saint Martin Cairanne Rouge Les Douyes 2016;Le rustique noble incarné. Beau grain, beaucoup de fruit et de fond, solidement ancré, solaire et rafraîchissant. Un vin complet et complexe, qui se gardera à merveille.;publish;closed;closed;;oratoire-saint-martin-cairanne-douyes-2016;2020-08-27 18:45:02;2020-08-27 16:45:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4065";0;product;;0
14323;0;0;0;0;4;;;2;2019-02-15 18:07:59;2019-02-15 17:07:59;;Vin;Domaine Clerget Vosne-Romanée Les Violettes 2015;;publish;closed;closed;;domaine-clerget-vosne-romanee-les-violettes-2015;2019-08-31 10:50:04;2019-08-31 08:50:04;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-clerget-vosne-romanee-les-violettes-2015.jpg;0;attachment;image/jpeg;0
16342;0;0;0;0;5;taxable;;2;2018-05-03 11:37:55;2018-05-03 09:37:55;;Vin;Château Turcaud Bordeaux Rosé 2019;"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Robe d’un joli rose melon très pâle et brillant. Belle fraîcheur aromatique, avec des notes acidulées, sur le bonbon anglais et d'agrumes. La forte majorité des cépages cabernets apporte beaucoup de fraîcheur et de vivacité en bouche.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>";publish;closed;closed;;chateau-turcaud-rose-2019;2020-08-26 15:45:02;2020-08-26 13:45:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4858";0;product;;0
16029;0;0;0;0;11;taxable;;2;2018-02-12 11:38:55;2018-02-12 10:38:55;;Vin;Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018;Assemblage à forte majorité de Grenache complété par du Carignan  et de la Syrah, il tire sa force des deux lieux-dits dont les raisins sont issus. Il doit beaucoup à la personnalité du Carignan qui lui confère une trame tannique affirmée, tempérée par le gras, la gourmandise et les épices douces du Grenache.;publish;closed;closed;;clos-du-mont-olivet-cotes-du-rhone-vieilles-vignes-2018;2020-08-01 09:35:04;2020-08-01 07:35:04;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4056";0;product;;0
15475;0;0;0;0;7;;;2;2018-04-13 13:46:01;2018-04-13 11:46:01;;Vin;Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017;;publish;closed;closed;;marc-colin-et-fils-chassagne-montrachet-rouge-vieilles-vignes-2017;2020-01-03 17:18:33;2020-01-03 16:18:33;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/marc-colin-et-fils-chassagne-montrachet-rouge-vieilles-vignes-2017.jpg;0;attachment;image/jpeg;0
13754;0;0;0;0;8;taxable;;2;2018-04-19 13:45:11;2018-04-19 11:45:11;;Vin;Maurice Schoech Pinot Gris Vendanges Tardives 2015;Vendangé en un seul passage, les raisins de Pinot Gris à la peau délicate sont propices au passerillage et récoltés dès la fin des vendanges. Au nez se dégagent des notes fumées et confites soulignées en bouche par une belle suavité et un équilibre parfait.;publish;closed;closed;;maurice-schoech-pinot-gris-vendanges-tardives-2015;2020-07-27 14:25:03;2020-07-27 12:25:03;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4783";0;product;;0
;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14680;0;0;0;0;7;taxable;;2;2018-04-18 22:06:42;2018-04-18 20:06:42;;Vin;Domaine Saint-Nicolas Fiefs Vendéens Blanc Le Haut des Clous 2017;Le Haut des Clous déploie une matière robuste, franche et d'une superbe persistance. C'est un blanc intense, minéral, sur les fruits confits, à la finale ample, grasse et accompagnée d'une subtile pointe sucrée.;publish;closed;closed;;domaine-saint-nicolas-fiefs-vendeens-blanc-le-haut-des-clous-2017;2020-08-08 17:45:03;2020-08-08 15:45:03;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4757";0;product;;0
15875;0;0;0;0;7;;;2;2018-04-13 15:41:12;2018-04-13 13:41:12;;Vin;Gilbert Picq Chablis En Vaudécorse 2017;;publish;closed;closed;;gilbert-picq-chablis-en-vaudecorse-2017;2020-08-27 16:05:03;2020-08-27 14:05:03;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/gilbert-picq-chablis-en-vaudecorse-2017.jpg;0;attachment;image/jpeg;0
9636;0;0;0;0;0;taxable;;2;2018-03-22 10:44:57;2018-03-22 09:44:57;;Whisky;Wemyss Malts Blended Malt Scotch Whisky The Hive 12 ans;The Hive est un assemblage de malts du Speyside avec principalement des 12 ans en provenance de 16 distilleries dont la plupart se trouvent en Speyside. La couleur intense tire sur le bronze qui souligne l’élevage en fût de Sherry. Le nez évoque le miel frais, les pommes au caramel et les bâtons de cannelle. La sucrosité du miel se prolonge en bouche et domine les nuances d’épices à dessert et de fruits confits. La finale est persistante, ronde et douce.;publish;closed;closed;;whisky-wemyss-the-hive-12-ans;2020-08-19 17:45:03;2020-08-19 15:45:03;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4396";0;product;;0
13849;0;0;0;0;10;taxable;;2;2019-03-13 14:05:40;2019-03-13 13:05:40;;Huile d'olive;Huiles d'Olive Extra Vierge Planeta 3x 10cl;Récoltées entre le 15 octobre et le 30 novembre à la main, ces olives typiques de la région d'Agrigento en Sicile donnent une huile extra vierge de grande qualité. Mix de 3 variétés différentes d'huiles d'olive.;publish;closed;closed;;huile-dolive-extra-vierge-planeta-3x-10cl;2019-05-28 17:00:02;2019-05-28 15:00:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=5761";0;product;;0
13662;0;0;0;0;13;;;2;2019-04-18 11:46:21;2019-04-18 09:46:21;;Vin;Domaine de l'Ancienne Cure Pécharmant L'Abbaye 2015;;publish;closed;closed;;domaine-de-lancienne-cure-pecharmant-abbaye-2015;2020-06-15 11:05:02;2020-06-15 09:05:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-de-lancienne-cure-pecharmant-abbaye-2015.jpg;0;attachment;image/jpeg;0
16564;0;0;0;0;9;;;2;2018-04-19 13:41:51;2018-04-19 11:41:51;;Vin;Paul Ginglinger Pinot Blanc 2017;;publish;closed;closed;;paul-ginglinger-pinot-blanc-2017;2020-08-27 16:45:03;2020-08-27 14:45:03;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/paul-ginglinger-pinot-blanc-2017.jpg;0;attachment;image/jpeg;0
;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13557;0;0;0;0;0;;;2;2019-01-31 14:13:47;2019-01-31 13:13:47;;Vin;Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015;;publish;closed;closed;;domaine-des-terres-docre-saint-pourcain-rouge-instant-t-2015;2020-06-23 18:35:01;2020-06-23 16:35:01;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-des-terres-docre-saint-pourcain-rouge-instant-t-2015.jpg;0;attachment;image/jpeg;0
15429;0;0;0;0;10;;;2;2018-04-18 21:49:35;2018-04-18 19:49:35;;Vin;Domaine de Montgilet Coteaux de l'Aubance 2017;;publish;closed;closed;;domaine-de-montgilet-coteaux-de-laubance-2017;2020-08-22 09:00:10;2020-08-22 07:00:10;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-de-montgilet-coteaux-de-laubance-2017.jpg;0;attachment;image/jpeg;0
14712;0;0;0;0;6;;;2;2018-10-09 16:01:48;2018-10-09 14:01:48;;Vin;Decelle-Villa Beaune Rouge 2015;;publish;closed;closed;;decelle-villa-beaune-rouge-2015;2020-08-20 10:35:02;2020-08-20 08:35:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/decelle-villa-beaune-rouge-2015.jpg;0;attachment;image/jpeg;0
;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
15032;0;0;0;0;11;;;2;2018-02-20 11:48:09;2018-02-20 10:48:09;;Vin;Domaine Saint-Denis Bourgogne Rouge Le Clos 2017;;publish;closed;closed;;domaine-saint-denis-bourgogne-rouge-le-clos-2017;2020-08-27 17:25:02;2020-08-27 15:25:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-saint-denis-bourgogne-rouge-le-clos-2017.jpg;0;attachment;image/jpeg;0
15481;0;0;0;0;8;taxable;;2;2018-10-09 16:15:00;2018-10-09 14:15:00;;Vin;Marc Colin Et Fils Santenay Rouge 2017;Commentaires à venir.;publish;closed;closed;;marc-colin-et-fils-santenay-rouge-2017;2020-06-20 09:00:10;2020-06-20 07:00:10;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=5491";0;product;;0
15448;0;0;0;0;9;taxable;;2;2018-04-19 13:48:57;2018-04-19 11:48:57;;Vin;Maurice Schoech Pinot Auxerrois Vieilles Vignes 2018;Il fait parti des premiers raisins vendangés et les parcelles sont âgées de plus de 35 ans. Ce vin allie fraîcheur et souplesse.;publish;closed;closed;;maurice-schoech-pinot-auxerrois-2018;2020-06-23 18:45:02;2020-06-23 16:45:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4785";0;product;;0
16580;0;0;0;0;8;;;2;2019-07-24 09:31:48;2019-07-24 07:31:48;;Vin;Domaine Giudicelli Patrimonio Blanc 2019;;publish;closed;closed;;domaine-giudicelli-patrimonio-blanc-2019;2020-08-27 10:12:58;2020-08-27 08:12:58;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/domaine-giudicelli-patrimonio-blanc-2019.jpg;0;attachment;image/jpeg;0
15441;0;0;0;0;14;taxable;;2;2018-02-15 11:47:07;2018-02-15 10:47:07;;Vin;Château de La Liquière Faugères 2017;"<div class=""row"">
<div class=""features-value col-xs-8 col-sm-8 col-md-9"">Vin intense aux aromes de fruits rouges et noirs sur de belles notes minerales. Les tanins sont fins et elegants revelant finesse et persistance. Beaucoup de gourmandise.</div>
</div>";publish;closed;closed;;chateau-de-la-liquiere-faugeres-rouge-2017;2020-08-27 16:05:03;2020-08-27 14:05:03;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4194";0;product;;0
;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
804;0;0;0;0;3;taxable;;2;2018-04-14 11:59:32;2018-04-14 09:59:32;;Vin;Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière;"Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de ""séparer par la chaleur les principes fixes et volatiles"".
Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...";publish;closed;closed;;marcel-windholtz-eau-de-mirabelle-dalsace-reserve-particuliere;2020-07-23 10:15:03;2020-07-23 08:15:03;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4633";0;product;;0
